"Season","Name","Team","wFB","FA-Z (pi)","vFA (pi)","playerid"
"2018","Sean Newcomb","ATL","14.2","8.5","93.0","16943"
"2019","Mike Fiers","OAK","2.1","9.7","90.5","7754"
"2019","Madison Bumgarner","SFG","3.7","8.0","91.6","5524"
"2017","Zach Davies","MIL","-1.4","7.9","89.6","13183"
"2015","R.A. Dickey","TOR","-3.6","6.1","82.1","1245"
"2016","CC Sabathia","NYY","-2.4","6.6","92.2","404"
"2021","Dylan Cease","CHW","-2.0","9.9","96.8","18525"
"2018","Reynaldo Lopez","CHW","0.1","7.5","95.6","16400"
"2015","James Shields","SDP","-13.2","8.4","92.0","7059"
"2021","Sean Manaea","OAK","-1.4","","","15873"
"2017","Mike Leake","- - -","1.6","","","10130"
"2018","Kevin Gausman","- - -","-8.7","7.9","93.8","14107"
"2018","Julio Teheran","ATL","8.9","7.0","90.0","6797"
"2015","Kyle Hendricks","CHC","3.5","7.5","89.1","12049"
"2015","Chris Heston","SFG","7.1","5.7","90.1","10302"
"2018","Jake Arrieta","PHI","2.5","7.1","92.3","4153"
"2019","Zack Wheeler","NYM","8.3","8.1","96.9","10310"
"2016","Zach Davies","MIL","-8.4","7.8","89.6","13183"
"2016","Brandon Finnegan","CIN","-11.3","8.1","92.6","16208"
"2019","Yu Darvish","CHC","-13.7","8.5","94.3","13074"
"2019","Wade Miley","HOU","0.1","8.8","90.9","8779"
"2021","Luis Castillo","CIN","-11.8","6.5","97.3","15689"
"2018","Jose Urena","MIA","11.8","7.1","95.7","11589"
"2019","Marco Gonzales","SEA","3.8","9.2","89.1","15467"
"2016","David Price","BOS","-1.9","8.2","93.8","3184"
"2018","Marco Gonzales","SEA","0.9","8.4","90.2","15467"
"2020","Jose Berrios","MIN","-3.9","7.9","94.7","14168"
"2019","Max Fried","ATL","-0.2","6.0","93.9","13743"
"2016","Chris Archer","TBR","-15.3","9.3","95.1","6345"
"2018","Jose Quintana","CHC","6.4","8.2","91.7","11423"
"2020","Zack Greinke","HOU","-3.0","8.8","88.0","1943"
"2017","Patrick Corbin","ARI","-19.3","7.6","92.6","9323"
"2016","Carlos Rodon","CHW","-17.6","7.3","94.4","16137"
"2015","Julio Teheran","ATL","1.7","7.6","92.2","6797"
"2015","Anthony DeSclafani","CIN","2.8","8.3","93.6","13050"
"2020","Brady Singer","KCR","7.2","9.4","93.0","25377"
"2017","Chris Archer","TBR","-3.7","9.1","95.7","6345"
"2015","Yordano Ventura","KCR","-0.9","8.1","96.9","11855"
"2015","Tom Koehler","MIA","-12.0","7.8","92.9","6570"
"2016","Matt Moore","- - -","4.6","8.5","93.6","1890"
"2015","Ubaldo Jimenez","BAL","-3.1","9.2","92.1","3374"
"2015","Jimmy Nelson","MIL","-8.3","8.5","94.2","10547"
"2016","Kendall Graveman","OAK","-0.6","6.5","93.1","15514"
"2016","Hisashi Iwakuma","SEA","-2.1","6.6","88.7","13048"
"2015","Jon Niese","NYM","-0.5","7.0","89.9","4424"
"2017","Michael Wacha","STL","5.5","9.1","95.5","14078"
"2019","Zach Eflin","PHI","-1.8","6.7","94.0","13774"
"2017","Ivan Nova","PIT","-7.0","6.3","93.3","1994"
"2018","Andrew Heaney","LAA","-2.7","6.6","91.9","15423"
"2017","Jose Quintana","- - -","6.8","8.8","92.5","11423"
"2019","Miles Mikolas","STL","4.4","7.6","93.8","9803"
"2017","Jason Vargas","KCR","-21.9","9.2","86.4","8044"
"2021","Zack Greinke","HOU","1.3","8.3","89.0","1943"
"2015","Bartolo Colon","NYM","3.7","8.3","91.0","375"
"2016","Ivan Nova","- - -","-1.3","6.0","93.2","1994"
"2019","Joey Lucchesi","SDP","11.6","7.6","90.6","19320"
"2017","Trevor Bauer","CLE","-5.4","8.6","94.2","12703"
"2019","Brad Keller","KCR","1.1","7.1","93.8","15734"
"2018","Ivan Nova","PIT","-7.9","6.3","93.1","1994"
"2019","Adam Wainwright","STL","-7.2","6.8","89.8","2233"
"2018","Gio Gonzalez","- - -","7.7","7.8","90.3","7448"
"2021","Yu Darvish","SDP","0.8","9.8","94.6","13074"
"2021","Cole Irvin","OAK","-4.3","8.4","91.0","19244"
"2017","Dylan Bundy","BAL","-7.4","9.7","92.2","12917"
"2017","Gerrit Cole","PIT","3.2","7.8","96.2","13125"
"2017","Dan Straily","MIA","3.1","9.7","90.7","9460"
"2015","Mike Pelfrey","MIN","-3.3","1.8","80.9","5203"
"2016","Trevor Bauer","CLE","-4.6","9.0","94.1","12703"
