"Season","Name","Team","wFA (pi)","playerid"
"2016","Jaime Garcia","STL","-4.2","8137"
"2017","Luis Perdomo","SDP","-0.1","14682"
"2015","Rubby de la Rosa","ARI","1.2","3862"
"2017","Kevin Gausman","BAL","-4.3","14107"
"2019","Jose Quintana","CHC","0.9","11423"
"2016","Mike Leake","STL","0.1","10130"
"2016","Francisco Liriano","- - -","-3.1","3201"
"2016","Hector Santiago","- - -","-0.2","4026"
"2015","John Danks","CHW","-2.3","6329"
"2019","Ivan Nova","CHW","-2.4","1994"
"2015","CC Sabathia","NYY","-0.9","404"
"2020","Aaron Civale","CLE","0.5","19479"
"2017","Masahiro Tanaka","NYY","-6.5","15764"
"2018","Zack Godley","ARI","0.4","14862"
"2019","German Marquez","COL","6.6","15038"
"2021","Kyle Hendricks","CHC","-6.0","12049"
"2018","Nick Pivetta","PHI","-3.2","15454"
"2017","Ty Blach","SFG","14.2","14361"
"2017","Clayton Richard","SDP","0.2","3551"
"2016","Chad Bettis","COL","-13.2","10587"
"2016","Michael Pineda","NYY","-25.6","5372"
"2017","Martin Perez","TEX","-2.5","6902"
"2015","Aaron Harang","PHI","6.0","1451"
"2016","Drew Smyly","TBR","14.6","11760"
"2016","Robbie Ray","ARI","9.7","11486"
"2015","Rick Porcello","BOS","4.0","2717"
"2017","Ricky Nolasco","LAA","-14.1","3830"
"2015","Jeff Samardzija","CHW","3.5","3254"
"2017","Marco Estrada","TOR","4.4","1118"
"2015","Chris Tillman","BAL","-0.1","5279"
"2015","Alfredo Simon","DET","0.7","2155"
"2016","Jered Weaver","LAA","-11.0","4235"
"2019","Martin Perez","MIN","-13.0","6902"
"2018","Jon Gray","COL","-14.9","14916"
"2021","Jordan Lyles","TEX","-14.7","7593"
"2020","Jon Lester","CHC","-4.8","4930"
"2019","Jakob Junis","KCR","-15.3","13619"
"2021","Dallas Keuchel","CHW","-0.9","9434"
"2017","Jason Hammel","KCR","0.1","4538"
"2020","Kyle Gibson","TEX","0.3","10123"
"2016","Wade Miley","- - -","-1.7","8779"
"2016","Edinson Volquez","KCR","-2.0","3990"
"2019","Reynaldo Lopez","CHW","-4.0","16400"
"2020","Johnny Cueto","SFG","-6.6","6893"
"2017","Jeremy Hellickson","- - -","4.1","4371"
"2018","Dylan Bundy","BAL","-13.4","12917"
"2019","Rick Porcello","BOS","-0.9","2717"
"2017","Matt Moore","SFG","-15.2","1890"
"2021","Patrick Corbin","WSN","-7.4","9323"
"2016","James Shields","- - -","-6.9","7059"
"2018","Lucas Giolito","CHW","-13.2","15474"
"2020","Matthew Boyd","DET","-7.0","15440"
