"Season","Name","Team","wFB","vFA (sc)","FA-Z (sc)","playerid"
"2018","Mike Fiers","- - -","2.3","89.4","10.9","7754"
"2020","Framber Valdez","HOU","1.7","93.2","6.0","17295"
"2018","Derek Holland","SFG","2.7","","","4141"
"2018","David Price","BOS","16.3","92.7","8.3","3184"
"2019","Mike Minor","TEX","12.3","92.5","8.8","10021"
"2015","Hector Santiago","LAA","7.9","","","4026"
"2015","Dan Haren","- - -","1.4","86.0","10.2","1757"
"2016","Kevin Gausman","BAL","6.7","94.7","10.1","14107"
"2021","Chris Flexen","SEA","3.6","92.8","11.0","13896"
"2015","J.A. Happ","- - -","14.1","92.0","9.2","7410"
"2018","Kyle Gibson","MIN","1.4","93.1","9.6","10123"
"2015","Carlos Carrasco","CLE","-1.1","94.6","8.1","6632"
"2017","Carlos Martinez","STL","2.5","96.3","7.6","11682"
"2015","Cole Hamels","- - -","-2.9","92.3","10.1","4972"
"2015","Garrett Richards","LAA","3.9","95.7","7.2","9784"
"2018","J.A. Happ","- - -","14.5","92.3","10.4","7410"
"2016","Jerad Eickhoff","PHI","-7.4","91.0","9.7","12664"
"2015","Jordan Zimmermann","WSN","-10.6","93.0","8.2","4505"
"2017","Alex Cobb","TBR","7.2","91.1","10.5","6562"
"2019","Lance Lynn","TEX","20.4","94.6","8.5","2520"
"2016","Ian Kennedy","KCR","20.9","92.1","9.8","6986"
"2019","Jose Berrios","MIN","11.5","93.1","8.3","14168"
"2016","Jake Odorizzi","TBR","16.3","91.3","11.7","6397"
"2015","Brett Anderson","LAD","-4.7","90.9","6.8","8223"
"2015","Mike Fiers","- - -","2.1","89.3","11.2","7754"
"2015","Mike Leake","- - -","4.6","90.3","3.6","10130"
"2021","Kyle Gibson","- - -","0.9","92.8","9.7","10123"
"2016","Jeremy Hellickson","PHI","-1.7","90.1","8.8","4371"
"2018","Wade LeBlanc","SEA","-4.8","86.3","8.9","5221"
"2018","Dallas Keuchel","HOU","4.0","89.7","7.8","9434"
"2020","Max Scherzer","WSN","1.4","94.7","9.1","3137"
"2015","Jason Hammel","CHC","-15.9","92.2","9.6","4538"
"2020","German Marquez","COL","-3.5","95.9","8.1","15038"
"2015","Erasmo Ramirez","TBR","5.8","90.9","8.2","10314"
"2021","Tyler Mahle","CIN","4.7","94.0","9.9","16358"
"2021","Nathan Eovaldi","BOS","0.1","96.8","8.4","9132"
"2016","Dan Straily","CIN","0.4","89.2","9.6","9460"
"2018","German Marquez","COL","-4.8","95.4","8.0","15038"
